"Province.State","Country.Region","Lat","Long","date","num"
"Fujian","Mainland China",26.07783,117.9895,"2.11.2020",267
"Fujian","Mainland China",26.07783,117.9895,"2.12.2020",272
"Fujian","Mainland China",26.07783,117.9895,"2.13.2020",279
"Fujian","Mainland China",26.07783,117.9895,"2.14.2020",281
"Fujian","Mainland China",26.07783,117.9895,"2.15.2020",285
"Fujian","Mainland China",26.07783,117.9895,"2.16.2020",287
"Fujian","Mainland China",26.07783,117.9895,"2.17.2020",290
"Fujian","Mainland China",26.07783,117.9895,"2.18.2020",292
"Fujian","Mainland China",26.07783,117.9895,"2.19.2020",293
"Fujian","Mainland China",26.07783,117.9895,"2.20.2020",293
"Fujian","Mainland China",26.07783,117.9895,"2.21.2020",293
"Fujian","Mainland China",26.07783,117.9895,"2.22.2020",293
"Fujian","Mainland China",26.07783,117.9895,"2.23.2020",293
"Fujian","Mainland China",26.07783,117.9895,"2.24.2020",293
"Fujian","Mainland China",26.07783,117.9895,"2.25.2020",294
"Fujian","Mainland China",26.07783,117.9895,"2.26.2020",294
"Gansu","Mainland China",36.0611,103.8343,"1.22.2020",0
"Gansu","Mainland China",36.0611,103.8343,"1.23.2020",2
"Gansu","Mainland China",36.0611,103.8343,"1.24.2020",2
"Gansu","Mainland China",36.0611,103.8343,"1.25.2020",4
"Gansu","Mainland China",36.0611,103.8343,"1.26.2020",7
"Gansu","Mainland China",36.0611,103.8343,"1.27.2020",14
"Gansu","Mainland China",36.0611,103.8343,"1.28.2020",19
"Gansu","Mainland China",36.0611,103.8343,"1.29.2020",24
"Gansu","Mainland China",36.0611,103.8343,"1.30.2020",26
"Gansu","Mainland China",36.0611,103.8343,"1.31.2020",29
"Gansu","Mainland China",36.0611,103.8343,"2.1.2020",40
"Gansu","Mainland China",36.0611,103.8343,"2.2.2020",51
"Gansu","Mainland China",36.0611,103.8343,"2.3.2020",55
"Gansu","Mainland China",36.0611,103.8343,"2.4.2020",57
"Gansu","Mainland China",36.0611,103.8343,"2.5.2020",62
"Gansu","Mainland China",36.0611,103.8343,"2.6.2020",62
"Gansu","Mainland China",36.0611,103.8343,"2.7.2020",67
"Gansu","Mainland China",36.0611,103.8343,"2.8.2020",79
"Gansu","Mainland China",36.0611,103.8343,"2.9.2020",83
"Gansu","Mainland China",36.0611,103.8343,"2.10.2020",83
"Gansu","Mainland China",36.0611,103.8343,"2.11.2020",86
"Gansu","Mainland China",36.0611,103.8343,"2.12.2020",87
"Gansu","Mainland China",36.0611,103.8343,"2.13.2020",90
"Gansu","Mainland China",36.0611,103.8343,"2.14.2020",90
"Gansu","Mainland China",36.0611,103.8343,"2.15.2020",90
"Gansu","Mainland China",36.0611,103.8343,"2.16.2020",90
"Gansu","Mainland China",36.0611,103.8343,"2.17.2020",91
"Gansu","Mainland China",36.0611,103.8343,"2.18.2020",91
"Gansu","Mainland China",36.0611,103.8343,"2.19.2020",91
"Gansu","Mainland China",36.0611,103.8343,"2.20.2020",91
"Gansu","Mainland China",36.0611,103.8343,"2.21.2020",91
"Gansu","Mainland China",36.0611,103.8343,"2.22.2020",91
"Gansu","Mainland China",36.0611,103.8343,"2.23.2020",91
"Gansu","Mainland China",36.0611,103.8343,"2.24.2020",91
"Gansu","Mainland China",36.0611,103.8343,"2.25.2020",91
"Gansu","Mainland China",36.0611,103.8343,"2.26.2020",91
"Guangdong","Mainland China",23.33841,113.422,"1.22.2020",26
"Guangdong","Mainland China",23.33841,113.422,"1.23.2020",32
"Guangdong","Mainland China",23.33841,113.422,"1.24.2020",53
"Guangdong","Mainland China",23.33841,113.422,"1.25.2020",78
"Guangdong","Mainland China",23.33841,113.422,"1.26.2020",111
"Guangdong","Mainland China",23.33841,113.422,"1.27.2020",151
"Guangdong","Mainland China",23.33841,113.422,"1.28.2020",207
"Guangdong","Mainland China",23.33841,113.422,"1.29.2020",277
"Guangdong","Mainland China",23.33841,113.422,"1.30.2020",354
"Guangdong","Mainland China",23.33841,113.422,"1.31.2020",436
"Guangdong","Mainland China",23.33841,113.422,"2.1.2020",535
"Guangdong","Mainland China",23.33841,113.422,"2.2.2020",632
"Guangdong","Mainland China",23.33841,113.422,"2.3.2020",725
"Guangdong","Mainland China",23.33841,113.422,"2.4.2020",813
"Guangdong","Mainland China",23.33841,113.422,"2.5.2020",895
"Guangdong","Mainland China",23.33841,113.422,"2.6.2020",970
"Guangdong","Mainland China",23.33841,113.422,"2.7.2020",1034
"Guangdong","Mainland China",23.33841,113.422,"2.8.2020",1095
"Guangdong","Mainland China",23.33841,113.422,"2.9.2020",1131
"Guangdong","Mainland China",23.33841,113.422,"2.10.2020",1159
"Guangdong","Mainland China",23.33841,113.422,"2.11.2020",1177
"Guangdong","Mainland China",23.33841,113.422,"2.12.2020",1219
"Guangdong","Mainland China",23.33841,113.422,"2.13.2020",1241
"Guangdong","Mainland China",23.33841,113.422,"2.14.2020",1261
"Guangdong","Mainland China",23.33841,113.422,"2.15.2020",1294
"Guangdong","Mainland China",23.33841,113.422,"2.16.2020",1316
"Guangdong","Mainland China",23.33841,113.422,"2.17.2020",1322
"Guangdong","Mainland China",23.33841,113.422,"2.18.2020",1328
"Guangdong","Mainland China",23.33841,113.422,"2.19.2020",1331
"Guangdong","Mainland China",23.33841,113.422,"2.20.2020",1332
"Guangdong","Mainland China",23.33841,113.422,"2.21.2020",1333
"Guangdong","Mainland China",23.33841,113.422,"2.22.2020",1339
"Guangdong","Mainland China",23.33841,113.422,"2.23.2020",1342
"Guangdong","Mainland China",23.33841,113.422,"2.24.2020",1345
"Guangdong","Mainland China",23.33841,113.422,"2.25.2020",1347
"Guangdong","Mainland China",23.33841,113.422,"2.26.2020",1347
"Guangxi","Mainland China",23.82908,108.7881,"1.22.2020",2
"Guangxi","Mainland China",23.82908,108.7881,"1.23.2020",5
"Guangxi","Mainland China",23.82908,108.7881,"1.24.2020",23
"Guangxi","Mainland China",23.82908,108.7881,"1.25.2020",23
"Guangxi","Mainland China",23.82908,108.7881,"1.26.2020",36
"Guangxi","Mainland China",23.82908,108.7881,"1.27.2020",46
"Guangxi","Mainland China",23.82908,108.7881,"1.28.2020",51
"Guangxi","Mainland China",23.82908,108.7881,"1.29.2020",58
"Guangxi","Mainland China",23.82908,108.7881,"1.30.2020",78
"Guangxi","Mainland China",23.82908,108.7881,"1.31.2020",87
"Guangxi","Mainland China",23.82908,108.7881,"2.1.2020",100
"Guangxi","Mainland China",23.82908,108.7881,"2.2.2020",111
"Guangxi","Mainland China",23.82908,108.7881,"2.3.2020",127
"Guangxi","Mainland China",23.82908,108.7881,"2.4.2020",139
"Guangxi","Mainland China",23.82908,108.7881,"2.5.2020",150
"Guangxi","Mainland China",23.82908,108.7881,"2.6.2020",168
"Guangxi","Mainland China",23.82908,108.7881,"2.7.2020",172
"Guangxi","Mainland China",23.82908,108.7881,"2.8.2020",183
"Guangxi","Mainland China",23.82908,108.7881,"2.9.2020",195
"Guangxi","Mainland China",23.82908,108.7881,"2.10.2020",210
"Guangxi","Mainland China",23.82908,108.7881,"2.11.2020",215
"Guangxi","Mainland China",23.82908,108.7881,"2.12.2020",222
"Guangxi","Mainland China",23.82908,108.7881,"2.13.2020",222
"Guangxi","Mainland China",23.82908,108.7881,"2.14.2020",226
"Guangxi","Mainland China",23.82908,108.7881,"2.15.2020",235
"Guangxi","Mainland China",23.82908,108.7881,"2.16.2020",237
"Guangxi","Mainland China",23.82908,108.7881,"2.17.2020",238
"Guangxi","Mainland China",23.82908,108.7881,"2.18.2020",242
"Guangxi","Mainland China",23.82908,108.7881,"2.19.2020",244
"Guangxi","Mainland China",23.82908,108.7881,"2.20.2020",245
"Guangxi","Mainland China",23.82908,108.7881,"2.21.2020",246
"Guangxi","Mainland China",23.82908,108.7881,"2.22.2020",249
"Guangxi","Mainland China",23.82908,108.7881,"2.23.2020",249
"Guangxi","Mainland China",23.82908,108.7881,"2.24.2020",251
"Guangxi","Mainland China",23.82908,108.7881,"2.25.2020",252
"Guangxi","Mainland China",23.82908,108.7881,"2.26.2020",252
"Guizhou","Mainland China",26.81536,106.8748,"1.22.2020",1
"Guizhou","Mainland China",26.81536,106.8748,"1.23.2020",3
"Guizhou","Mainland China",26.81536,106.8748,"1.24.2020",3
"Guizhou","Mainland China",26.81536,106.8748,"1.25.2020",4
"Guizhou","Mainland China",26.81536,106.8748,"1.26.2020",5
"Guizhou","Mainland China",26.81536,106.8748,"1.27.2020",7
"Guizhou","Mainland China",26.81536,106.8748,"1.28.2020",9
"Guizhou","Mainland China",26.81536,106.8748,"1.29.2020",9
"Guizhou","Mainland China",26.81536,106.8748,"1.30.2020",12
"Guizhou","Mainland China",26.81536,106.8748,"1.31.2020",29
"Guizhou","Mainland China",26.81536,106.8748,"2.1.2020",29
"Guizhou","Mainland China",26.81536,106.8748,"2.2.2020",38
"Guizhou","Mainland China",26.81536,106.8748,"2.3.2020",46
"Guizhou","Mainland China",26.81536,106.8748,"2.4.2020",58
"Guizhou","Mainland China",26.81536,106.8748,"2.5.2020",64
"Guizhou","Mainland China",26.81536,106.8748,"2.6.2020",71
"Guizhou","Mainland China",26.81536,106.8748,"2.7.2020",81
"Guizhou","Mainland China",26.81536,106.8748,"2.8.2020",89
"Guizhou","Mainland China",26.81536,106.8748,"2.9.2020",99
"Guizhou","Mainland China",26.81536,106.8748,"2.10.2020",109
"Guizhou","Mainland China",26.81536,106.8748,"2.11.2020",127
"Guizhou","Mainland China",26.81536,106.8748,"2.12.2020",133
"Guizhou","Mainland China",26.81536,106.8748,"2.13.2020",135
"Guizhou","Mainland China",26.81536,106.8748,"2.14.2020",140
"Guizhou","Mainland China",26.81536,106.8748,"2.15.2020",143
"Guizhou","Mainland China",26.81536,106.8748,"2.16.2020",144
"Guizhou","Mainland China",26.81536,106.8748,"2.17.2020",146
